date,ret
2020-09-28,111.95055389404297
2020-09-29,111.10330963134766
2020-09-30,112.77828979492188
2020-10-01,113.7326431274414
2020-10-02,110.06134033203125
2020-10-05,113.45023345947266
2020-10-06,110.19767761230469
2020-10-07,112.06739807128906
2020-10-08,111.96028137207031
2020-10-09,113.90791320800781
2020-10-12,121.14342498779297
2020-10-13,117.9298095703125
2020-10-14,118.01746368408203
2020-10-15,117.55003356933594
2020-10-16,115.90425872802734
2020-10-19,112.94384765625
2020-10-20,114.43380737304688
2020-10-21,113.810546875
2020-10-22,112.7198715209961
2020-10-23,112.02845764160156
2020-10-26,112.03820037841797
2020-10-27,113.54762268066406
2020-10-28,108.28898620605469
2020-10-29,112.30110931396484
2020-10-30,106.01023864746094
2020-11-02,105.9225845336914
2020-11-03,107.54888916015625
2020-11-04,111.9408187866211
2020-11-05,115.91400146484375
2020-11-06,115.78230285644531
2020-11-09,113.47036743164062
2020-11-10,113.12895965576172
2020-11-11,116.5627212524414
2020-11-12,116.28958129882812
2020-11-13,116.33834838867188
2020-11-16,117.35287475585938
2020-11-17,116.46516418457031
2020-11-18,115.13848114013672
2020-11-19,115.7335433959961
2020-11-20,114.46537780761719
2020-11-23,111.06086730957031
2020-11-24,112.34854888916016
2020-11-25,113.18748474121094
2020-11-27,113.73377227783203
2020-11-30,116.13348388671875
2020-12-01,119.71359252929688
2020-12-02,120.06475830078125
2020-12-03,119.92817687988281
2020-12-04,119.25509643554688
2020-12-07,120.7183609008789
2020-12-08,121.33291625976562
2020-12-09,118.79662322998047
2020-12-10,120.22084045410156
2020-12-11,119.41118621826172
2020-12-14,118.79662322998047
2020-12-15,124.7471694946289
2020-12-16,124.67889404296875
2020-12-17,125.54708099365234
2020-12-18,123.55707550048828
2020-12-21,125.08861541748047
2020-12-22,128.649169921875
2020-12-23,127.75173950195312
2020-12-24,128.73699951171875
2020-12-28,133.34133911132812
2020-12-29,131.5659637451172
2020-12-30,130.44410705566406
2020-12-31,129.4393310546875
2021-01-04,126.23970031738281
2021-01-05,127.800537109375
2021-01-06,123.49853515625
2021-01-07,127.71267700195312
2021-01-08,128.8150177001953
2021-01-11,125.82022094726562
2021-01-12,125.64463806152344
2021-01-13,127.68342590332031
2021-01-14,125.7519760131836
2021-01-15,124.02531433105469
2021-01-19,124.69839477539062
2021-01-20,128.79551696777344
2021-01-21,133.5169677734375
2021-01-22,135.6630401611328
2021-01-25,139.418701171875
2021-01-26,139.65281677246094
2021-01-27,138.5797882080078
2021-01-28,133.73155212402344
2021-01-29,128.72723388671875
2021-02-01,130.85379028320312
2021-02-02,131.68296813964844
2021-02-03,130.65872192382812
2021-02-04,134.0242156982422
2021-02-05,133.60899353027344
2021-02-08,133.75555419921875
2021-02-09,132.87625122070312
2021-02-10,132.2705535888672
2021-02-11,132.0165557861328
2021-02-12,132.25100708007812
2021-02-16,130.12124633789062
2021-02-17,127.82537078857422
2021-02-18,126.721435546875
2021-02-19,126.87772369384766
2021-02-22,123.0969009399414
2021-02-23,122.96012115478516
2021-02-24,122.46186828613281
2021-02-25,118.20231628417969
2021-02-26,118.46611785888672
2021-03-01,124.84566497802734
2021-03-02,122.2371826171875
2021-03-03,119.24767303466797
2021-03-04,117.36214447021484
2021-03-05,118.62242889404297
2021-03-08,113.67900848388672
2021-03-09,118.30003356933594
2021-03-10,117.21561431884766
2021-03-11,119.14998626708984
2021-03-12,118.24140930175781
2021-03-15,121.13320922851562
2021-03-16,122.67679595947266
2021-03-17,121.88545989990234
2021-03-18,117.75293731689453
2021-03-19,117.22538757324219
2021-03-22,120.54703521728516
2021-03-23,119.71662139892578
2021-03-24,117.32306671142578
2021-03-25,117.8115463256836
2021-03-26,118.41726684570312
2021-03-29,118.5931167602539
2021-03-30,117.137451171875
2021-03-31,119.33561706542969
2021-04-01,120.166015625
2021-04-05,122.99920654296875
2021-04-06,123.30206298828125
2021-04-07,124.95311737060547
2021-04-08,127.35645294189453
2021-04-09,129.93563842773438
2021-04-12,128.21620178222656
2021-04-13,131.3326416015625
2021-04-14,128.9879913330078
2021-04-15,131.40106201171875
2021-04-16,131.06887817382812
2021-04-19,131.73318481445312
2021-04-20,130.04310607910156
2021-04-21,130.42408752441406
2021-04-22,128.90005493164062
2021-04-23,131.22520446777344
2021-04-26,131.61599731445312
2021-04-27,131.29356384277344
2021-04-28,130.5022735595703
2021-04-29,130.40457153320312
2021-04-30,128.43112182617188
2021-05-03,129.48619079589844
2021-05-04,124.90426635742188
2021-05-05,125.14852142333984
2021-05-06,126.75074005126953
2021-05-07,127.42598724365234
2021-05-10,124.1378173828125
2021-05-11,123.21791076660156
2021-05-12,120.1450424194336
2021-05-13,122.29801940917969
2021-05-14,124.72498321533203
2021-05-17,123.5702133178711
2021-05-18,122.18057250976562
2021-05-19,122.02399444580078
2021-05-20,124.58796691894531
2021-05-21,122.74818420410156
2021-05-24,124.38246154785156
2021-05-25,124.18673706054688
2021-05-26,124.1378173828125
2021-05-27,122.60139465332031
2021-05-28,121.94571685791016
2021-06-01,121.62277221679688
2021-06-02,122.3860855102539
2021-06-03,120.89857482910156
2021-06-04,123.19833374023438
2021-06-07,123.2081298828125
2021-06-08,124.0301742553711
2021-06-09,124.41181945800781
2021-06-10,123.41364288330078
2021-06-11,124.62711334228516
2021-06-14,127.69020080566406
2021-06-15,126.86817932128906
2021-06-16,127.36723327636719
2021-06-17,128.97216796875
2021-06-18,127.67066955566406
2021-06-21,129.4713134765625
2021-06-22,131.11537170410156
2021-06-23,130.84136962890625
2021-06-24,130.5575408935547
2021-06-25,130.2639923095703
2021-06-28,131.89828491210938
2021-06-29,133.41513061523438
2021-06-30,134.03164672851562
2021-07-01,134.33502197265625
2021-07-02,136.967529296875
2021-07-06,138.98345947265625
2021-07-07,141.4789581298828
2021-07-08,140.17738342285156
2021-07-09,142.00738525390625
2021-07-12,141.4104461669922
2021-07-13,142.52606201171875
2021-07-14,145.96102905273438
2021-07-15,145.30532836914062
2021-07-16,143.26004028320312
2021-07-19,139.4042510986328
2021-07-20,143.02516174316406
2021-07-21,142.2911834716797
2021-07-22,143.66127014160156
2021-07-23,145.38363647460938
2021-07-26,145.80441284179688
2021-07-27,143.6319122314453
2021-07-28,141.88015747070312
2021-07-29,142.52606201171875
2021-07-30,142.74134826660156
2021-08-02,142.40859985351562
2021-08-03,144.2092742919922
2021-08-04,143.8080596923828
2021-08-05,143.9156951904297
2021-08-06,143.2296600341797
2021-08-09,143.18064880371094
2021-08-10,142.70040893554688
2021-08-11,142.95521545410156
2021-08-12,145.92486572265625
2021-08-13,146.1306915283203
2021-08-16,148.1104736328125
2021-08-17,147.19894409179688
2021-08-18,143.44525146484375
2021-08-19,143.7784881591797
2021-08-20,145.2388153076172
2021-08-23,146.7285614013672
2021-08-24,146.64031982421875
2021-08-25,145.40542602539062
2021-08-26,144.60174560546875
2021-08-27,145.64065551757812
2021-08-30,150.07064819335938
2021-08-31,148.8063201904297
2021-09-01,149.47280883789062
2021-09-02,150.59010314941406
2021-09-03,151.2271270751953
2021-09-07,153.56956481933594
2021-09-08,152.02101135253906
2021-09-09,151.0017547607422
2021-09-10,146.0032958984375
2021-09-13,146.5717315673828
2021-09-14,145.1702117919922
2021-09-15,146.06210327148438
2021-09-16,145.82684326171875
2021-09-17,143.15122985839844
2021-09-20,140.0933837890625
2021-09-21,140.57362365722656
2021-09-22,142.9454345703125
2021-09-23,143.90589904785156
2021-09-24,143.99411010742188
2021-09-27,142.47496032714844
2021-09-28,139.08389282226562
2021-09-29,139.9855499267578
2021-09-30,138.68206787109375
2021-10-01,139.8091278076172
2021-10-04,136.36907958984375
2021-10-05,138.29981994628906
2021-10-06,139.172119140625
2021-10-07,140.4364013671875
2021-10-08,140.05418395996094
2021-10-11,139.9659881591797
2021-10-12,138.6918487548828
2021-10-13,138.1038360595703
2021-10-14,140.89706420898438
2021-10-15,141.95553588867188
2021-10-18,143.63150024414062
2021-10-19,145.7974853515625
2021-10-20,146.28750610351562
2021-10-21,146.5031280517578
2021-10-22,145.72886657714844
2021-10-25,145.67984008789062
2021-10-26,146.34632873535156
2021-10-27,145.88568115234375
2021-10-28,149.5316162109375
2021-10-29,146.81675720214844
2021-11-01,145.99346923828125
2021-11-02,147.0323486328125
2021-11-03,148.47312927246094
2021-11-04,147.95367431640625
2021-11-05,148.4836883544922
2021-11-08,147.65921020507812
2021-11-09,148.02236938476562
2021-11-10,145.18576049804688
2021-11-11,145.13670349121094
2021-11-12,147.21749877929688
2021-11-15,147.2273406982422
2021-11-16,148.2088623046875
2021-11-17,150.65283203125
2021-11-18,154.95184326171875
2021-11-19,157.58230590820312
2021-11-22,158.04360961914062
2021-11-23,158.42645263671875
2021-11-24,158.94662475585938
2021-11-26,153.91143798828125
2021-11-29,157.27804565429688
2021-11-30,162.24453735351562
2021-12-01,161.72433471679688
2021-12-02,160.73300170898438
2021-12-03,158.84849548339844
2021-12-06,162.26417541503906
2021-12-07,168.01580810546875
2021-12-08,171.84375
2021-12-09,171.33335876464844
2021-12-10,176.13296508789062
2021-12-13,172.49156188964844
2021-12-14,171.1076202392578
2021-12-15,175.9857635498047
2021-12-16,169.0758514404297
2021-12-17,167.97654724121094
2021-12-20,166.61228942871094
2021-12-21,169.7924041748047
2021-12-22,172.39341735839844
2021-12-23,173.02157592773438
2021-12-27,176.99673461914062
2021-12-28,175.97593688964844
2021-12-29,176.0642547607422
2021-12-30,174.90609741210938
2021-12-31,174.28775024414062
2022-01-03,178.64566040039062
2022-01-04,176.37835693359375
2022-01-05,171.68670654296875
2022-01-06,168.82070922851562
2022-01-07,168.9875030517578
2022-01-10,169.0071563720703
2022-01-11,171.84375
2022-01-12,172.28543090820312
2022-01-13,169.0071563720703
2022-01-14,169.8708953857422
2022-01-18,166.66134643554688
2022-01-19,163.15733337402344
2022-01-20,161.4691162109375
2022-01-21,159.40797424316406
2022-01-24,158.63253784179688
2022-01-25,156.8265838623047
2022-01-26,156.73822021484375
2022-01-27,156.2769012451172
2022-01-28,167.1815643310547
2022-01-31,171.54928588867188
2022-02-01,171.38243103027344
2022-02-02,172.5897216796875
2022-02-03,169.70407104492188
2022-02-04,169.41905212402344
2022-02-07,168.70159912109375
2022-02-08,171.8170166015625
2022-02-09,173.2420196533203
2022-02-10,169.15367126464844
2022-02-11,165.73365783691406
2022-02-14,165.96954345703125
2022-02-15,169.81214904785156
2022-02-16,169.5762939453125
2022-02-17,165.96954345703125
2022-02-18,164.41677856445312
2022-02-22,161.48812866210938
2022-02-23,157.31137084960938
2022-02-24,159.93536376953125
2022-02-25,162.0089874267578
2022-02-28,162.2743377685547
2022-03-01,160.38742065429688
2022-03-02,163.68951416015625
2022-03-03,163.36520385742188
2022-03-04,160.3579559326172
2022-03-07,156.55462646484375
2022-03-08,154.72671508789062
2022-03-09,160.14169311523438
2022-03-10,155.7880859375
2022-03-11,152.06341552734375
2022-03-14,148.02423095703125
2022-03-15,152.4171905517578
2022-03-16,156.8396453857422
2022-03-17,157.85186767578125
2022-03-18,161.1539764404297
2022-03-21,162.5298614501953
2022-03-22,165.91058349609375
2022-03-23,167.27662658691406
2022-03-24,171.0701141357422
2022-03-25,171.7089080810547
2022-03-28,172.57371520996094
2022-03-29,175.87582397460938
2022-03-30,174.70635986328125
2022-03-31,171.60076904296875
2022-04-01,171.30596923828125
2022-04-04,175.36477661132812
2022-04-05,172.0430450439453
2022-04-06,168.86868286132812
2022-04-07,169.17330932617188
2022-04-08,167.15869140625
2022-04-11,162.8934783935547
2022-04-12,164.77056884765625
2022-04-13,167.46334838867188
2022-04-14,162.44140625
2022-04-18,162.2252197265625
2022-04-19,164.51502990722656
2022-04-20,164.34799194335938
2022-04-21,163.55191040039062
2022-04-22,159.001708984375
2022-04-25,160.0729522705078
2022-04-26,154.0977020263672
2022-04-27,153.8717041015625
2022-04-28,160.81982421875
2022-04-29,154.93304443359375
2022-05-02,155.23773193359375
2022-05-03,156.7315216064453
2022-05-04,163.15882873535156
2022-05-05,154.06825256347656
2022-05-06,154.79653930664062
2022-05-09,149.65899658203125
2022-05-10,152.07028198242188
2022-05-11,144.186767578125
2022-05-12,140.3089599609375
2022-05-13,144.78713989257812
2022-05-16,143.24191284179688
2022-05-17,146.88351440429688
2022-05-18,138.59645080566406
2022-05-19,135.18125915527344
2022-05-20,135.41746520996094
2022-05-23,140.8502655029297
2022-05-24,138.1437225341797
2022-05-25,138.3012237548828
2022-05-26,141.50970458984375
2022-05-27,147.27716064453125
2022-05-31,146.48980712890625
2022-06-01,146.3618621826172
2022-06-02,148.82241821289062
2022-06-03,143.08445739746094
2022-06-06,143.83245849609375
2022-06-07,146.3618621826172
2022-06-08,145.62371826171875
2022-06-09,140.38771057128906
2022-06-10,134.9647216796875
2022-06-13,129.79762268066406
2022-06-14,130.6636962890625
2022-06-15,133.29156494140625
2022-06-16,128.0063934326172
2022-06-17,129.48268127441406
2022-06-21,133.72459411621094
2022-06-22,133.21282958984375
2022-06-23,136.0867156982422
2022-06-24,139.42320251464844
2022-06-27,139.42320251464844
2022-06-28,135.2698211669922
2022-06-29,137.03155517578125
2022-06-30,134.56118774414062
2022-07-01,136.73629760742188
2022-07-05,139.32476806640625
2022-07-06,140.66331481933594
2022-07-07,144.0391387939453
2022-07-08,144.71824645996094
2022-07-11,142.58251953125
2022-07-12,143.55690002441406
2022-07-13,143.1927032470703
2022-07-14,146.1256561279297
2022-07-15,147.798828125
2022-07-18,144.74777221679688
2022-07-19,148.61572265625
2022-07-20,150.62350463867188
2022-07-21,152.8970184326172
2022-07-22,151.65692138671875
2022-07-25,150.53492736816406
2022-07-26,149.20626831054688
2022-07-27,154.31430053710938
2022-07-28,154.86544799804688
2022-07-29,159.94398498535156
2022-08-01,158.9597625732422
2022-08-02,157.4834442138672
2022-08-03,163.50682067871094
2022-08-04,163.1918487548828
2022-08-05,162.96519470214844
2022-08-08,162.4921112060547
2022-08-09,162.54139709472656
2022-08-10,166.79908752441406
2022-08-11,166.0598907470703
2022-08-12,169.6178436279297
2022-08-15,170.69210815429688
2022-08-16,170.534423828125
2022-08-17,172.03248596191406
2022-08-18,171.63824462890625
2022-08-19,169.04617309570312
2022-08-22,165.15316772460938
2022-08-23,164.81808471679688
2022-08-24,165.11375427246094
2022-08-25,167.57769775390625
2022-08-26,161.2601318359375
2022-08-29,159.0524139404297
2022-08-30,156.61807250976562
2022-08-31,154.95242309570312
2022-09-01,155.68179321289062
2022-09-02,153.56275939941406
2022-09-06,152.3012237548828
2022-09-07,153.71060180664062
2022-09-08,152.2322540283203
2022-09-09,155.10025024414062
2022-09-12,161.07286071777344
2022-09-13,151.62118530273438
2022-09-14,153.0699920654297
2022-09-15,150.17242431640625
2022-09-16,148.52650451660156
2022-09-19,152.25196838378906
2022-09-20,154.63706970214844
2022-09-21,151.5029296875
2022-09-22,150.53704833984375
2022-09-23,148.2603759765625
2022-09-26,148.59547424316406
2022-09-27,149.57118225097656
2022-09-28,147.67884826660156
2022-09-29,140.42503356933594
2022-09-30,136.20677185058594
2022-10-03,140.39549255371094
2022-10-04,143.99281311035156
2022-10-05,144.2884979248047
2022-10-06,143.33248901367188
2022-10-07,138.06951904296875
2022-10-10,138.39476013183594
2022-10-11,136.97549438476562
2022-10-12,136.3447265625
2022-10-13,140.92767333984375
2022-10-14,136.3841552734375
2022-10-17,140.35604858398438
2022-10-18,141.6767120361328
2022-10-19,141.78514099121094
2022-10-20,141.32188415527344
2022-10-21,145.1459503173828
2022-10-24,147.2945098876953
2022-10-25,150.142822265625
2022-10-26,147.19595336914062
2022-10-27,142.71156311035156
2022-10-28,153.4937744140625
2022-10-31,151.12838745117188
2022-11-01,148.47720336914062
2022-11-02,142.93824768066406
2022-11-03,136.87693786621094
2022-11-04,136.6103973388672
2022-11-07,137.1435089111328
2022-11-08,137.71607971191406
2022-11-09,133.14529418945312
2022-11-10,144.9918212890625
2022-11-11,147.78562927246094
2022-11-14,146.38381958007812
2022-11-15,148.1212921142578
2022-11-16,146.8872833251953
2022-11-17,148.79263305664062
2022-11-18,149.35531616210938
2022-11-21,146.1172332763672
2022-11-22,148.2594757080078
2022-11-23,149.13816833496094
2022-11-25,146.2159881591797
2022-11-28,142.37574768066406
2022-11-29,139.36473083496094
2022-11-30,146.1370086669922
2022-12-01,146.4134063720703
2022-12-02,145.91978454589844
2022-12-05,144.7549285888672
2022-12-06,141.08245849609375
2022-12-07,139.13768005371094
2022-12-08,140.82582092285156
2022-12-09,140.3420867919922
2022-12-12,142.64227294921875
2022-12-13,143.6097412109375
2022-12-14,141.378662109375
2022-12-15,134.75445556640625
2022-12-16,132.78988647460938
2022-12-19,130.67727661132812
2022-12-20,130.60816955566406
2022-12-21,133.7178497314453
2022-12-22,130.5390625
2022-12-23,130.1737823486328
2022-12-27,128.36717224121094
2022-12-28,124.42821502685547
2022-12-29,127.95256805419922
2022-12-30,128.26844787597656
